,공원명,공원구분,소재지지번주소,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),관리기관명
17214,동양어린이공원,어린이공원,부산광역시 부산진구 부암동 726,,"미끄럼틀, 시소",,,,부산광역시 부산진구청
17215,새싹어린이공원,어린이공원,부산광역시 부산진구 초읍동 257,,,,,,부산광역시 부산진구청
17216,연지어린이공원,어린이공원,부산광역시 부산진구 연지동 48,,"조합놀이대, 흔들놀이기구",,,야외 공연장,부산광역시 부산진구청
17217,꿈동산어린이공원,어린이공원,부산광역시 부산진구 양정동 91-2,,"조합놀이대, 시소, 흔들놀이기구",,,,부산광역시 부산진구청
17218,전포2-1재개발,어린이공원,부산광역시 부산진구 전포동 415-7,,,,,,부산광역시 부산진구청
17219,양정1재개발,어린이공원,부산광역시 부산진구 양정동 32-138,,,,,,부산광역시 부산진구청
17220,어린이공원,어린이공원,부산광역시 부산진구 가야동 337-5,,,,,,부산광역시 부산진구청
17221,가야감고개공원,문화공원,부산광역시 부산진구 가야동 553,,조합놀이대,,,,부산광역시 부산진구청
17222,양영공원,어린이공원,경기도 성남시 분당구 서현동 317-1,야외운동기구+인라인스케이트장,어린이놀이터,벤치+파고라+화장실,,,경기도 성남시 분당구 녹지공원과
17223,수련공원,어린이공원,경기도 성남시 분당구 서현동 314-1,,어린이놀이터,벤치+파고라+화장실,,,경기도 성남시 분당구 녹지공원과
17224,미래공원,어린이공원,경기도 성남시 분당구 서현동 309,야외운동기구,어린이놀이터,벤치+파고라+화장실,,바닥분수,경기도 성남시 분당구 녹지공원과
17225,안말공원,어린이공원,경기도 성남시 분당구 분당동 194-3,야외운동기구,어린이놀이터,벤치+파고라+화장실,,,경기도 성남시 분당구 녹지공원과
17226,장안공원,어린이공원,경기도 성남시 분당구 분당동 89,야외운동기구+다목적운동장,어린이놀이터,벤치+파고라+화장실,,,경기도 성남시 분당구 녹지공원과
17227,동문공원,어린이공원,경기도 성남시 분당구 분당동 124,야외운동기구,어린이놀이터,벤치+파고라+음수전,,,경기도 성남시 분당구 녹지공원과
17228,태현공원,어린이공원,경기도 성남시 분당구 분당동 162,야외운동기구,어린이놀이터,벤치+파고라+음수전,,,경기도 성남시 분당구 녹지공원과
17229,선지봉공원,어린이공원,경기도 성남시 분당구 분당동 179,야외운동기구+다목적운동장,어린이놀이터,벤치+파고라+음수전,,,경기도 성남시 분당구 녹지공원과
17230,초림공원,어린이공원,경기도 성남시 분당구 수내동 31,야외운동기구+다목적운동장,어린이놀이터,벤치+파고라+화장실,,,경기도 성남시 분당구 녹지공원과
17231,햇빛공원,어린이공원,경기도 성남시 분당구 수내동 26,야외운동기구,어린이놀이터,벤치+파고라+화장실,,,경기도 성남시 분당구 녹지공원과
17232,내정공원,어린이공원,경기도 성남시 분당구 수내동 62,야외운동기구,어린이놀이터,벤치+파고라+화장실,,,경기도 성남시 분당구 녹지공원과
17233,푸른공원,어린이공원,경기도 성남시 분당구 수내동 127,야외운동기구,어린이놀이터,벤치+파고라+화장실,,,경기도 성남시 분당구 녹지공원과
17234,수내공원,어린이공원,경기도 성남시 분당구 수내동 110,야외운동기구,어린이놀이터,벤치+파고라+음수전,,,경기도 성남시 분당구 녹지공원과
17235,철쭉공원,어린이공원,경기도 성남시 분당구 정자동 108,야외운동기구,어린이놀이터,벤치+파고라+음수전,,,경기도 성남시 분당구 녹지공원과
